Case_ID,Molecule,Charge,Multiplicity,Num_Electrons,Basis,Basis_Source,Mapper,N_Qubit,N_Qubit_Verified,Ansatz,Optimizer,Qiskit_Opt_Level,Shots,TN_Layers_Network,TN_Layers_Circuit,Rotation_Type,Measurement_Method,Num_Opt_Params_Phi,Num_Opt_Params_Theta,Num_ExpVals_Per_Iter,Notes,Est_QPU_Time_S_At_30_Iter,Est_QPU_Time_Cumulative_S
19,H2,0,1,2,def2-svp,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
20,H2,0,1,2,def2-svp,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
23,H2,0,1,2,def2-tzvp,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
24,H2,0,1,2,def2-tzvp,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
27,H2,0,1,2,qvSZP,grimme_qvszp,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
28,H2,0,1,2,qvSZP,grimme_qvszp,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
35,Li2,0,1,6,6-31g,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
36,Li2,0,1,6,6-31g,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
39,Li2,0,1,6,cc-pvdz,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
40,Li2,0,1,6,cc-pvdz,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
43,Li2,0,1,6,cc-pvtz,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
44,Li2,0,1,6,cc-pvtz,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
47,Li2,0,1,6,def2-svp,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
48,Li2,0,1,6,def2-svp,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
51,Li2,0,1,6,def2-tzvp,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
52,Li2,0,1,6,def2-tzvp,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
55,Li2,0,1,6,qvSZP,grimme_qvszp,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
56,Li2,0,1,6,qvSZP,grimme_qvszp,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
63,H2O,0,1,10,6-31g,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
64,H2O,0,1,10,6-31g,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
67,H2O,0,1,10,cc-pvdz,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
68,H2O,0,1,10,cc-pvdz,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
71,H2O,0,1,10,cc-pvtz,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
72,H2O,0,1,10,cc-pvtz,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
75,H2O,0,1,10,def2-svp,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
76,H2O,0,1,10,def2-svp,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
79,H2O,0,1,10,def2-tzvp,basis_set_exchange,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
80,H2O,0,1,10,def2-tzvp,basis_set_exchange,mol_map,,n/a,,,,,,,,qasm_gen_grouped,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Cebule QASM_GEN basis-state-pair-grouping measurement scheme. Expected to require fewer or equal distinct circuits per iteration than plain 'pauli' measurement (that's QASM_GEN's whole purpose), but the exact circuit count is an output of a real QASM_GEN/TN_QC_OPT run, not predictable in advance -- see docs.mqs.dk QASM_GEN section.",,
83,H2O,0,1,10,qvSZP,grimme_qvszp,mol_map,,n/a,,,,,,,,pauli,,,,"Not computable offline -- MQS constraint-based encoding qubit count depends on Cebule's MOL_MAP task output for this molecule/basis, not a formula. Run Cebule MOL_MAP (schemas.mqsdk_cebule.MolMapInput) to fill in. Standard per-Pauli-string measurement (baseline).",,
