Case_ID,Stage,Molecule,Charge,Multiplicity,Num_Electrons,Basis,Basis_Source,Active_Space,Active_Electrons,Active_Orbitals,Mapper,N_Qubit,N_Qubit_Source,Method,Ansatz,Ansatz_Reps,Backend_Platform,Optimizer,Opt_Options,Shots,Qiskit_Version,TN_Layers_Network,TN_Layers_Circuit,TN_Ansatz,Optimization_Mode,Measurement_Method,Qasm_Ansatz_File,Qasm_Ansatz_SHA256,Num_Opt_Params_Phi,Num_Opt_Params_Theta,Num_ExpVals_Per_Iter,Notes,Est_QPU_Time_S_At_30_Iter,Est_QPU_Time_Cumulative_S
29,1_screen,H2,0,1,2,6-31g,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,EfficientSU2,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),grouped,,,8,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/6-31g. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Cebule's basis-state-pair-grouping measurement scheme (TNQCOptInput.measurement_method='grouped'). Expected to need fewer or equal distinct circuits per iteration than 'pauli', but the exact circuit count is an output of a real run, not predictable from the inputs.",90.976,90.976
30,1_screen,H2,0,1,2,6-31g,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,RealAmplitudes,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),grouped,,,4,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/6-31g. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Cebule's basis-state-pair-grouping measurement scheme (TNQCOptInput.measurement_method='grouped'). Expected to need fewer or equal distinct circuits per iteration than 'pauli', but the exact circuit count is an output of a real run, not predictable from the inputs.",90.976,181.951
42,1_screen,H2,0,1,2,cc-pvdz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,EfficientSU2,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),pauli,,,8,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvdz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Standard per-Pauli-string measurement (baseline).",90.976,272.927
43,1_screen,H2,0,1,2,cc-pvdz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,RealAmplitudes,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),pauli,,,4,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvdz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Standard per-Pauli-string measurement (baseline).",90.976,363.902
45,1_screen,H2,0,1,2,cc-pvdz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,EfficientSU2,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),grouped,,,8,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvdz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Cebule's basis-state-pair-grouping measurement scheme (TNQCOptInput.measurement_method='grouped'). Expected to need fewer or equal distinct circuits per iteration than 'pauli', but the exact circuit count is an output of a real run, not predictable from the inputs.",90.976,454.878
46,1_screen,H2,0,1,2,cc-pvdz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,RealAmplitudes,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),grouped,,,4,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvdz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Cebule's basis-state-pair-grouping measurement scheme (TNQCOptInput.measurement_method='grouped'). Expected to need fewer or equal distinct circuits per iteration than 'pauli', but the exact circuit count is an output of a real run, not predictable from the inputs.",90.976,545.854
58,1_screen,H2,0,1,2,cc-pvtz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,EfficientSU2,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),pauli,,,8,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvtz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Standard per-Pauli-string measurement (baseline).",90.976,636.829
59,1_screen,H2,0,1,2,cc-pvtz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,RealAmplitudes,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),pauli,,,4,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvtz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Standard per-Pauli-string measurement (baseline).",90.976,727.805
61,1_screen,H2,0,1,2,cc-pvtz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,EfficientSU2,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),grouped,,,8,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvtz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Cebule's basis-state-pair-grouping measurement scheme (TNQCOptInput.measurement_method='grouped'). Expected to need fewer or equal distinct circuits per iteration than 'pauli', but the exact circuit count is an output of a real run, not predictable from the inputs.",90.976,818.780
62,1_screen,H2,0,1,2,cc-pvtz,basis_set_exchange,valence_cas,2,2,mol_map,2,mol_map_run,VQE,RealAmplitudes,1,ibm_runtime,COBYLA,{},4096,2.3.0,,,n/a (not TN-VQE),n/a (not TN-VQE),grouped,,,4,,,"N_Qubit confirmed by a real Cebule MOL_MAP run for H2/cc-pvtz. Stage-1 screening active space CAS(2,2), held fixed across all basis sets (H2 has no core to freeze). Cebule's basis-state-pair-grouping measurement scheme (TNQCOptInput.measurement_method='grouped'). Expected to need fewer or equal distinct circuits per iteration than 'pauli', but the exact circuit count is an output of a real run, not predictable from the inputs.",90.976,909.756
